STADTTEIL;Mietpreis
Altstadt-Nord;13,96 €
Neustadt/Nord;13,96 €
Altstadt-Süd;13,49 €
Neustadt/Süd;13,49 €
Bayenthal;13,75 €
Bickendorf;9,87 €
Bilderstöckchen;9,12 €
Blumenberg;8,37 €
Bocklemünd/Mengenich;9,16 €
Braunsfeld;12,75 €
Brück;10,52 €
Buchforst;7,32 €
Buchheim;9,87 €
Dellbrück;9,74 €
Deutz;12,82 €
Dünnwald;8,67 €
Ehrenfeld;12,17 €
Eil;8,44 €
Ensen;9,64 €
Esch/Auweiler;10,43 €
Flittard;8,26 €
Fühlingen;9,16 €
Godorf;9,60 €
Grengel;10,09 €
Heimersdorf;8,07 €
Höhenberg;10,94 €
Höhenhaus;9,74 €
Holweide;9,69 €
Humboldt/Gremberg;9,69 €
Immendorf;8,44 €
Junkersdorf;11,73 €
Kalk;11,11 €
Klettenberg;11,66 €
Langel;8,23 €
Lind;9,05 €
Lindenthal;12,86 €
Lindweiler;8,33 €
Longerich;9,72 €
Lövenich;11,41 €
Marienburg;12,21 €
Mauenheim;9,45 €
Merheim;9,21 €
Merkenich;9,13 €
Mülheim;10,78 €
Müngersdorf;12,32 €
Neubrück;8,86 €
Neuehrenfeld;12,16 €
Niehl;11,32 €
Nippes;11,95 €
Ossendorf;11,54 €
Ostheim;10,01 €
Pesch;9,49 €
Poll;10,09 €
Porz;9,20 €
Raderberg;11,83 €
Raderthal;12,19 €
Rath/Heumar;9,55 €
Riehl;11,12 €
Rodenkirchen;11,46 €
Roggendorf/Thenhoven;9,85 €
Rondorf;11,29 €
Seeberg;8,18 €
Stammheim;9,06 €
Sülz;12,47 €
Sürth;10,89 €
Urbach;8,52 €
Vingst;8,76 €
Vogelsang;10,50 €
Wahn;10,06 €
Wahnheide;9,40 €
Weiden;11,26 €
Weidenpesch;9,62 €
Weiß;11,37 €
Westhoven;10,16 €
Widdersdorf;10,06 €
Worringen;9,47 €
Zollstock;11,95 €
Zündorf;8,63 €
Volhoven/Weiler;unbekannt
Chorweiler;unbekannt
Elsdorf;unbekannt
Finkenberg;unbekannt
Libur;unbekannt
Gremberhoven;unbekannt
Meschenich;unbekannt
Hahnwald;unbekannt